1150.00,1.53521e-11
1155.00,2.17153e-11
1160.00,1.68467e-11
1165.00,3.36151e-12
1170.00,1.76025e-13
1175.00,6.20237e-13
1180.00,4.11944e-12
1185.00,3.08723e-12
1190.00,4.10307e-13
1195.00,4.83777e-13
1200.00,4.58669e-12
1205.00,1.78274e-11
1210.00,5.74751e-11
1215.00,9.08152e-11
1220.00,6.06296e-11
1225.00,1.60142e-11
1230.00,2.58041e-12
1235.00,1.44343e-12
1240.00,1.25964e-12
1245.00,8.83136e-13
1250.00,6.86349e-13
1255.00,6.80586e-13
1260.00,5.82181e-13
1265.00,8.24405e-14
1270.00,4.06435e-14
1275.00,3.93284e-13
1280.00,1.07681e-12
1285.00,9.99932e-13
1290.00,3.27942e-13
1295.00,2.69207e-13
1300.00,5.20345e-13
1305.00,1.44316e-13
1310.00,5.02046e-13
1315.00,9.34871e-13
1320.00,7.78388e-13
1325.00,5.59567e-13
1330.00,7.08093e-13
1335.00,6.03418e-13
1340.00,2.56114e-13
1345.00,8.91019e-14
1350.00,3.11996e-13
1355.00,5.83155e-13
1360.00,7.18957e-13
1365.00,8.37493e-13
1370.00,6.18025e-13
1375.00,8.32429e-13
1380.00,1.04680e-12
1385.00,8.98375e-13
1390.00,4.21860e-13
1395.00,7.81739e-13
1400.00,1.15638e-12
1405.00,1.47099e-12
1410.00,1.20409e-12
1415.00,4.09219e-13
1420.00,1.04887e-13
1425.00,5.16874e-13
1430.00,9.77139e-13
1435.00,8.96165e-13
1440.00,1.46460e-12
1445.00,2.55043e-12
1450.00,2.15571e-12
1455.00,1.15306e-12
1460.00,6.01252e-13
1465.00,7.54242e-13
1470.00,1.24815e-12
1475.00,1.47776e-12
1480.00,1.44870e-12
1485.00,1.14421e-12
1490.00,1.16378e-12
1495.00,1.27620e-12
1500.00,1.27612e-12
1505.00,1.23249e-12
1510.00,1.21631e-12
1515.00,1.19108e-12
1520.00,1.10204e-12
1525.00,1.15842e-12
1530.00,1.39153e-12
1535.00,1.66498e-12
1540.00,1.92432e-12
1545.00,2.61516e-12
1550.00,2.52978e-12
1555.00,1.73874e-12
1560.00,1.92815e-12
1565.00,2.05213e-12
1570.00,2.10352e-12
1575.00,2.31291e-12
1580.00,1.92186e-12
1585.00,1.84116e-12
1590.00,1.84409e-12
1595.00,1.39638e-12
1600.00,1.21241e-12
1605.00,1.62677e-12
1610.00,1.54978e-12
1615.00,9.75772e-13
1620.00,8.09774e-13
1625.00,1.17490e-12
1630.00,1.74657e-12
1635.00,1.93584e-12
1640.00,1.41229e-12
1645.00,1.67322e-12
1650.00,2.01752e-12
1655.00,1.97629e-12
1660.00,2.58054e-12
1665.00,2.70871e-12
1670.00,2.30769e-12
1675.00,1.98159e-12
1680.00,2.51119e-12
1685.00,2.56124e-12
1690.00,2.51505e-12
1695.00,2.81980e-12
1700.00,3.14693e-12
1705.00,2.71656e-12
1710.00,2.32820e-12
1715.00,2.50263e-12
1720.00,2.92504e-12
1725.00,3.21769e-12
1730.00,3.28659e-12
1735.00,3.70185e-12
1740.00,3.99251e-12
1745.00,4.56733e-12
1750.00,4.63985e-12
1755.00,4.49739e-12
1760.00,4.85671e-12
1765.00,5.51117e-12
1770.00,5.96107e-12
1775.00,6.65386e-12
1780.00,6.09099e-12
1785.00,5.28914e-12
1790.00,4.09126e-12
1795.00,4.53086e-12
1800.00,5.69275e-12
1805.00,6.45194e-12
1810.00,7.40788e-12
1815.00,8.21113e-12
1820.00,8.73385e-12
1825.00,8.48712e-12
1830.00,8.43426e-12
1835.00,8.59122e-12
1840.00,8.42538e-12
1845.00,7.90767e-12
1850.00,7.88383e-12
1855.00,8.55134e-12
1860.00,9.59581e-12
1865.00,1.03081e-11
1870.00,1.08744e-11
1875.00,1.12787e-11
1880.00,1.17223e-11
1885.00,1.23953e-11
1890.00,1.29254e-11
1895.00,1.28952e-11
1900.00,1.19924e-11
1905.00,1.22015e-11
1910.00,1.32312e-11
1915.00,1.38771e-11
1920.00,1.46189e-11
1925.00,1.41739e-11
1930.00,1.32806e-11
1935.00,1.29458e-11
1940.00,1.45567e-11
1945.00,1.77613e-11
1950.00,2.15085e-11
1955.00,3.40265e-11
1960.00,3.65763e-11
1965.00,1.96082e-11
1970.00,3.28567e-12
1975.00,1.74629e-12
1980.00,1.70261e-11
1985.00,5.38426e-11
1990.00,5.80149e-11
1995.00,3.82725e-11
2000.00,2.73363e-11
2005.00,3.80455e-12
2010.00,3.45874e-13
2015.00,2.07009e-12
2020.00,3.44161e-13
2025.00,0.00000
2030.00,0.00000
2035.00,0.00000
2040.00,1.68195e-13
2045.00,3.62928e-12
2050.00,1.91097e-11
2055.00,2.69126e-11
2060.00,3.48057e-11
2065.00,2.11088e-11
2070.00,2.03909e-11
2075.00,4.71192e-11
2080.00,7.31257e-11
2085.00,6.22503e-11
2090.00,4.80901e-11
2095.00,4.26171e-11
2100.00,8.38043e-11
2105.00,1.19687e-10
2110.00,1.22639e-10
2115.00,1.07803e-10
2120.00,1.14548e-10
2125.00,1.05735e-10
2130.00,5.57201e-11
2135.00,9.27896e-11
2140.00,1.13005e-10
2145.00,1.22126e-10
2150.00,1.28348e-10
2155.00,1.14790e-10
2160.00,9.69491e-11
2165.00,4.08130e-11
2170.00,1.07073e-11
2175.00,5.20539e-11
2180.00,1.16552e-10
2185.00,1.28347e-10
2190.00,9.97145e-11
2195.00,8.53789e-11
2200.00,1.10754e-10
2205.00,1.12587e-10
2210.00,1.26651e-10
2215.00,8.03882e-11
2220.00,9.48537e-11
2225.00,1.01501e-10
